IP,Definition,Unit,structure_tautological,structure_explanatory,structure_no_response,qualifier_attempt,qualifier_no_attempt,victim_first_person,victim_second_person,victim_generic,victim_entity,adversary_generic,adversary_specific,action_impersonation,action_steal_data,action_disclose_data,action_data_loss,action_blackmail,action_deceit,action_public_cyberbullying,action_private_cyberbullying,action_harassment,action_discrimination,action_other_cyberbullying,action_hack,action_ddos,action_misc,motivation_accidental,motivation_financial_gain,motivation_impersonation,motivation_blackmail,motivation_information_gain ,motivation_destructive,motivation_other,technical_details_lock,technical_details_encrypt,technical_details_publish,technical_details_reputation,technical_details_facebook,technical_details_twitter,technical_details_instagram,technical_details_misc,technical_details_personal_identifiers,technical_details_financial_data,technical_details_classified_data,impact_reputation,impact_mental_anguish,impact_therapy,impact_legal_cost,impact_notification_costs,impact_misc,frequency_cyber _attack,frequency_cyberbullying,frequency_cyber_extortion,frequency_identity_theft ,frequency_online_fraud  ,frequency_data_breach  ,cost_usd_cyber_attack,cost_usd_cyberbullying,cost_usd_cyber_extortion,cost_usd_identity_theft ,cost_usd_online_fraud  ,cost_usd_data_breach  ,cost_gbp_cyberbullying  ,cost_gbp_cyber_extortion,cost_gbp_identity_theft ,cost_gbp_online_fraud  ,cost_gbp_data_breach  ,cost_gbp_cyber_attack,cost_adjusted_cyberbullying  ,cost_adjusted_cyber_extortion,cost_adjusted_identity_theft ,cost_adjusted_online_fraud  ,cost_adjusted_data_breach  ,cost_adjusted_cyber_attack,insurance_travel,insurance_health,insurance_home,insurance_car,insurance_life,cybercrime_coverage
63.160.189.62,Cyber Attack,"A cyber attack refers to a deliberate and malicious attempt to compromise computer systems, networks, or digital devices, aiming to disrupt, steal, alter, or access sensitive information. These attacks can take various forms, including viruses, malware, phishing, and denial-of-service attacks, posing significant risks to data, privacy, and online operations.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Close to never,Sometimes / Once in 5 years,Close to never,Occasionally / Once in 10 years,Frequently / Once in 2 years,Sometimes / Once in 5 years,2254,0,634,6831,10000,15000,0,0,0,0,0,0,0,634,6831,10000,15000,2254,Yes,Yes,Yes,Yes,Yes,No
173.170.145.21,Cyber Attack,"A ""cyber attack"" refers to a deliberate and malicious attempt to compromise or disrupt computer systems, networks, or digital devices. These attacks can encompass a range of tactics, such as hacking, spreading malware, phishing, or launching denial-of-service attacks. The primary goal of a cyber attack is to gain unauthorized access, steal information, cause damage, or create chaos within the targeted digital environment.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Close to never,Close to never,Close to never,Rarely / Once in 50 years,Close to never,Rarely / Once in 50 years,6197,7113,3028,5070,5423,5211,0,0,0,0,0,0,7113,3028,5070,5423,5211,6197,No,No,Yes,Yes,No,Do not know
174.212.105.91,Cyber Attack,"To me a cyber attack is when someone is trying to hack my information. I typically read about large cyber attacks from other countries. For example, the hacking of the oil distribution facility on the east coast a couple of years ago was very disruptive.",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rarely / Once in 50 years,Close to never,Rarely / Once in 50 years,Occasionally / Once in 10 years,Occasionally / Once in 10 years,Occasionally / Once in 10 years,0,0,0,50000,50000,50000,0,0,0,0,0,0,0,0,50000,50000,50000,0,Yes,Yes,Yes,Yes,No,No
71.200.203.90,Cyber Attack,When a hacker messes with someone's computer or device,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Occasionally / Once in 10 years,Sometimes / Once in 5 years,Rarely / Once in 50 years,Occasionally / Once in 10 years,Occasionally / Once in 10 years,Rarely / Once in 50 years,2887,0,7817,30211,20000,27042,0,0,0,0,0,0,0,7817,30211,20000,27042,2887,No,No,No,Yes,No,No
73.186.68.105,Cyber Attack,when someone breaks into your computer or network digitally and does things to mess it up,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Occasionally / Once in 10 years,Usually / Every year,Rarely / Once in 50 years,Rarely / Once in 50 years,Occasionally / Once in 10 years,Usually / Every year,1408,0,4789,5000,986,0,0,0,0,0,0,0,0,4789,5000,986,0,1408,No,Yes,Yes,Yes,No,Do not know
47.42.65.228,Cyber Attack,"When an entity hacks into a system and cause havoc and, or steals information.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Occasionally / Once in 10 years,Usually / Every year,Rarely / Once in 50 years,Frequently / Once in 2 years,Occasionally / Once in 10 years,Frequently / Once in 2 years,2784,1119,476,4187,476,2380,0,0,0,0,0,0,1119,476,4187,476,2380,2784,No,No,Yes,No,No,No
74.194.111.40,Cyber Attack,Cyber attack is when someone goes online and attacks your data system,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Occasionally / Once in 10 years,Occasionally / Once in 10 years,Rarely / Once in 50 years,Occasionally / Once in 10 years,Occasionally / Once in 10 years,Rarely / Once in 50 years,986,0,493,13380,7676,845,0,0,0,0,0,0,0,493,13380,7676,845,986,No,Yes,No,Yes,No,No
66.90.191.31,Cyber Attack,It is when you do anything online to harm another person.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rarely / Once in 50 years,Close to never,Rarely / Once in 50 years,Occasionally / Once in 10 years,Occasionally / Once in 10 years,Rarely / Once in 50 years,1620,0,141,1831,1479,775,0,0,0,0,0,0,0,141,1831,1479,775,1620,No,Yes,Yes,Yes,Yes,Do not know
209.94.186.250,Cyber Attack,A cyber attack is the theft of information or a disruption of service by an outside source with no permission to gain access.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Close to never,Close to never,Close to never,Rarely / Once in 50 years,Occasionally / Once in 10 years,Occasionally / Once in 10 years,5493,2254,5704,9718,8451,2676,0,0,0,0,0,0,2254,5704,9718,8451,2676,5493,No,No,Yes,Yes,No,No
174.73.247.91,Cyber Attack,"Hackers trying to get illegal remote access to or trying to harm someone's data, computer etc.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rarely / Once in 50 years,Rarely / Once in 50 years,Rarely / Once in 50 years,Rarely / Once in 50 years,Rarely / Once in 50 years,Occasionally / Once in 10 years,1549,1690,1479,1479,1549,1549,0,0,0,0,0,0,1690,1479,1479,1549,1549,1549,No,No,No,No,No,No
24.185.69.22,Cyber Attack,"any intentional effort to steal, expose, alter, disable, or destroy data, applications or other assets through unauthorized access to a network, computer system or digital device",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Close to never,Sometimes / Once in 5 years,Close to never,Close to never,Close to never,Rarely / Once in 50 years,704,0,23521,30704,5282,18099,0,0,0,0,0,0,0,23521,30704,5282,18099,704,No,Yes,Yes,Yes,Yes,No
72.75.212.216,Cyber Attack,A cyber attack is when someone attempts to infiltrate a companies databases,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rarely / Once in 50 years,Occasionally / Once in 10 years,Close to never,Rarely / Once in 50 years,Occasionally / Once in 10 years,Rarely / Once in 50 years,6029,10420,2913,25151,24443,25009,0,0,0,0,0,0,10420,2913,25151,24443,25009,6029,No,Yes,Yes,Yes,No,Do not know
66.67.122.108,Cyber Attack,When a large amount of individuals are taken advantage of by compromising their information online,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Occasionally / Once in 10 years,Occasionally / Once in 10 years,Close to never,Frequently / Once in 2 years,Rarely / Once in 50 years,Frequently / Once in 2 years,9159,2088,16116,39848,5845,2617,0,0,0,0,0,0,2088,16116,39848,5845,2617,9159,No,Yes,Yes,Yes,Yes,No
73.124.129.229,Cyber Attack,A cyber attack is a deliberate method of compromising an entityÃ¢â‚¬â„¢s cybersecurity measures.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Close to never,Occasionally / Once in 10 years,Close to never,Rarely / Once in 50 years,Close to never,Sometimes / Once in 5 years,19851,0,20000,48507,1493,0,0,0,0,0,0,0,0,20000,48507,1493,0,19851,No,Yes,Yes,Yes,No,No
70.134.213.89,Cyber Attack,"A cyber attack is when someone tries to destroy, steal, alter, disable, etc ones information online.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Frequently / Once in 2 years,Close to never,Close to never,Sometimes / Once in 5 years,Close to never,Frequently / Once in 2 years,1958,831,50000,20197,10127,761,0,0,0,0,0,0,831,50000,20197,10127,761,1958,No,Yes,Yes,Yes,Yes,No
98.115.100.250,Cyber Attack,This could mean a lot of different things such as the perpetrator gets hold of private information by sending phishing emails or uses spyware to hold your computer data captive and unusable until you pay the ransom fee.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Occasionally / Once in 10 years,Rarely / Once in 50 years,Rarely / Once in 50 years,Occasionally / Once in 10 years,Sometimes / Once in 5 years,Sometimes / Once in 5 years,50000,493,25211,49859,17606,22958,0,0,0,0,0,0,493,25211,49859,17606,22958,50000,No,Yes,Yes,Yes,Yes,No
173.216.224.175,Cyber Attack,Computers are set to behave in a way that takes the control away from the owner.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Occasionally / Once in 10 years,Close to never,Close to never,Frequently / Once in 2 years,Sometimes / Once in 5 years,Frequently / Once in 2 years,0,0,0,4007,1120,5627,0,0,0,0,0,0,0,0,4007,1120,5627,0,No,Yes,Yes,Yes,No,No
69.109.237.59,Cyber Attack,Something foreign is used to corrupt data,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Frequently / Once in 2 years,Sometimes / Once in 5 years,Rarely / Once in 50 years,Occasionally / Once in 10 years,Occasionally / Once in 10 years,Usually / Every year,0,2324,4930,1127,5070,282,0,0,0,0,0,0,2324,4930,1127,5070,282,0,Yes,Yes,Yes,Yes,Yes,No
172.56.104.80,Cyber Attack,Cyber attack is when hackers attack a website or a data source with tactics such a ddos and other ways of attacking a system,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Close to never,Close to never,Occasionally / Once in 10 years,Occasionally / Once in 10 years,Sometimes / Once in 5 years,Occasionally / Once in 10 years,50000,30606,50000,50000,50000,50000,0,0,0,0,0,0,30606,50000,50000,50000,50000,50000,No,Yes,No,Yes,Yes,Do not know
172.59.32.44,Cyber Attack,An attack that comes via the internet against connected devices.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sometimes / Once in 5 years,Sometimes / Once in 5 years,Occasionally / Once in 10 years,Rarely / Once in 50 years,Sometimes / Once in 5 years,Occasionally / Once in 10 years,2042,0,19296,39366,4437,1127,0,0,0,0,0,0,0,19296,39366,4437,1127,2042,No,Yes,Yes,Yes,No,No
47.208.246.183,Cyber Attack,An attack to online accessible systems with valuable data.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sometimes / Once in 5 years,Close to never,Occasionally / Once in 10 years,Sometimes / Once in 5 years,Sometimes / Once in 5 years,Usually / Every year,9225,493,493,9507,9225,9155,0,0,0,0,0,0,493,493,9507,9225,9155,9225,Yes,Yes,Yes,Yes,Yes,No
76.204.201.3,Cyber Attack,"To me, it means that an entity is trying to get a company's information and on their computers.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sometimes / Once in 5 years,Rarely / Once in 50 years,Occasionally / Once in 10 years,Occasionally / Once in 10 years,Sometimes / Once in 5 years,Sometimes / Once in 5 years,7042,5000,5000,10000,10000,5000,0,0,0,0,0,0,5000,5000,10000,10000,5000,7042,No,No,Yes,Yes,No,No
174.60.114.153,Cyber Attack,"People will attack other businesses or people's computers by using malware,etc to steal info, block their computers, block their networks.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Close to never,Rarely / Once in 50 years,Close to never,Frequently / Once in 2 years,Usually / Every year,Frequently / Once in 2 years,3357,188,10047,15540,1948,10892,0,0,0,0,0,0,188,10047,15540,1948,10892,3357,No,Yes,Yes,Yes,Yes,"Yes (if yes, please specify all the policies under which you have the coverage)"
172.56.28.150,Cyber Attack,"A cyber attack makes it almost impossible to gain access to a website or someone's info, by taking over the network or website.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sometimes / Once in 5 years,Close to never,Close to never,Close to never,Occasionally / Once in 10 years,Occasionally / Once in 10 years,0,0,25070,50000,10070,0,0,0,0,0,0,0,0,25070,50000,10070,0,0,No,Yes,Yes,Yes,Yes,No
99.42.72.68,Cyber Attack,A digital attack on data storing systems.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sometimes / Once in 5 years,Rarely / Once in 50 years,Rarely / Once in 50 years,Rarely / Once in 50 years,Occasionally / Once in 10 years,Frequently / Once in 2 years,5493,0,5141,24648,10070,1549,0,0,0,0,0,0,0,5141,24648,10070,1549,5493,No,Yes,Yes,Yes,Yes,No
24.117.107.180,Cyber Attack,A cyber attack is the use of electronic means to disable or reduce the speed or performance of an electronic system to prevent it from doing its intended job.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Usually / Every year,Frequently / Once in 2 years,Rarely / Once in 50 years,Rarely / Once in 50 years,Rarely / Once in 50 years,Rarely / Once in 50 years,0,0,0,211,3028,0,0,0,0,0,0,0,0,0,211,3028,0,0,No,Yes,Yes,Yes,Yes,No
98.97.12.99,Cyber Attack,This is when a website or server is attacked with things that crible it. This can be a Ddos attack which can crash servers from huge amounts of data being sent to quickly.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Occasionally / Once in 10 years,Rarely / Once in 50 years,Sometimes / Once in 5 years,Occasionally / Once in 10 years,Sometimes / Once in 5 years,Frequently / Once in 2 years,50000,1197,20423,50000,21197,10282,0,0,0,0,0,0,1197,20423,50000,21197,10282,50000,No,No,Yes,Yes,No,No
174.83.218.64,Cyber Attack,An attack on the ability to use or protect sensitive data or systems of operation.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rarely / Once in 50 years,Rarely / Once in 50 years,Rarely / Once in 50 years,Occasionally / Once in 10 years,Usually / Every year,Frequently / Once in 2 years,15070,20000,20000,30000,10000,10000,0,0,0,0,0,0,20000,20000,30000,10000,10000,15070,No,Yes,No,Yes,Yes,No
184.88.63.148,Cyber Attack,impeding an online entity virtually to harass or extort,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rarely / Once in 50 years,Rarely / Once in 50 years,Rarely / Once in 50 years,Occasionally / Once in 10 years,Sometimes / Once in 5 years,Frequently / Once in 2 years,0,0,9359,15768,5275,2599,0,0,0,0,0,0,0,9359,15768,5275,2599,0,No,Yes,No,No,No,No
174.175.182.27,Cyber Attack,A cyber attack is when an outside source or entity gains access to valuable information via the internet on personal or company computers. It can also be when an outside source manipulates and/or infiltrates a computer or system of computers and gains access to valuable personal information.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Occasionally / Once in 10 years,Sometimes / Once in 5 years,Rarely / Once in 50 years,Rarely / Once in 50 years,Occasionally / Once in 10 years,Sometimes / Once in 5 years,12028,1042,20056,25549,14141,8085,0,0,0,0,0,0,1042,20056,25549,14141,8085,12028,No,No,No,Yes,No,No
